anchor_type,d_src,d_dst,d_aligned,residual_m,a,b
weld,4496.248056,4481.495736,4510.304181159541,-14.056125159540898,1.0004704050591884,26.700326892595946
weld,4498.089048000001,4493.07204,4521.885930711509,-23.79688271150826,1.0004704050591884,26.700326892595946
weld,4510.1438880000005,4502.100216,4530.918353611175,-20.77446561117449,1.0004704050591884,26.700326892595946
weld,4522.345032,4503.980832,4532.799854262456,-10.454822262456219,1.0004704050591884,26.700326892595946
weld,4534.549224,4516.00824,4544.832920016028,-10.283696016027534,1.0004704050591884,26.700326892595946
weld,4536.3719280000005,4528.209384,4557.0398034958935,-20.667875495892986,1.0004704050591884,26.700326892595946
weld,4542.22104,4540.401384,4569.237538674375,-27.016498674374816,1.0004704050591884,26.700326892595946
weld,4554.373416,4542.25152,4571.08854498771,-16.71512898770925,1.0004704050591884,26.700326892595946
weld,4557.579912,4548.10368,4576.943457873381,-19.363545873380644,1.0004704050591884,26.700326892595946
weld,4561.600224,4559.189256,4588.034248584415,-26.434024584415056,1.0004704050591884,26.700326892595946
weld,4573.770888,4563.489984,4592.336999668624,-18.566111668624217,1.0004704050591884,26.700326892595946
weld,4585.9446,4567.51944,4596.368351145113,-10.423751145112874,1.0004704050591884,26.700326892595946
weld,4598.109168,4579.726680000001,4608.581333492568,-10.47216549256791,1.0004704050591884,26.700326892595946
weld,4610.2706880000005,4591.927824,4620.7882169724335,-10.517528972432956,1.0004704050591884,26.700326892595946
weld,4622.429160000001,4604.153352,4633.019495922656,-10.590335922654958,1.0004704050591884,26.700326892595946
weld,4634.5693440000005,4616.336208,4645.208082799753,-10.6387387997529,1.0004704050591884,26.700326892595946
weld,4646.544936,4628.506872,4657.384471941672,-10.839535941671784,1.0004704050591884,26.700326892595946
weld,4649.86116,4640.680584000001,4669.563910517387,-19.70275051738645,1.0004704050591884,26.700326892595946
weld,4652.903064,4652.671416,4681.560383065424,-28.657319065423508,1.0004704050591884,26.700326892595946
weld,4655.78952,4655.990688,4684.881216467765,-29.09169646776445,1.0004704050591884,26.700326892595946
weld,4660.846152,4659.075264,4687.9672434679205,-27.12109146792045,1.0004704050591884,26.700326892595946
weld,4663.458288,4661.90076,4690.794068595535,-27.335780595534743,1.0004704050591884,26.700326892595946
weld,4669.694496,4667.170752,4696.066539626432,-26.37204362643206,1.0004704050591884,26.700326892595946
weld,4673.4709680000005,4669.6122000000005,4698.509136095924,-25.038168095923538,1.0004704050591884,26.700326892595946
weld,4677.43032,4675.958136,4704.858057256323,-27.42773725632287,1.0004704050591884,26.700326892595946
weld,4680.185712,4679.527344,4708.428944229823,-28.243232229822752,1.0004704050591884,26.700326892595946
weld,4683.828072,4683.651288,4712.554828153945,-28.726756153944734,1.0004704050591884,26.700326892595946
weld,4707.130032,4686.327432,4715.232231025621,-8.102199025621303,1.0004704050591884,26.700326892595946
weld,4719.3647040000005,4690.128288,4719.034874967513,0.32982903248739603,1.0004704050591884,26.700326892595946
weld,4731.599376,4702.3782,4731.290549388093,0.30882661190753424,1.0004704050591884,26.700326892595946
weld,4743.776136,4705.840728,4734.754706178782,9.02142982121859,1.0004704050591884,26.700326892595946
weld,4755.9742320000005,4713.51864,4742.43622990743,13.538002092570423,1.0004704050591884,26.700326892595946
weld,4768.178424,4725.722832,4754.646162821091,13.532261178908811,1.0004704050591884,26.700326892595946
weld,4780.379568,4737.93312,4766.8621946023395,13.517373397660776,1.0004704050591884,26.700326892595946
weld,4792.565472,4750.131216000001,4779.066028648412,13.499443351588525,1.0004704050591884,26.700326892595946
weld,4804.717848,4762.3445520000005,4791.285109863455,13.432738136545595,1.0004704050591884,26.700326892595946
weld,4816.912896000001,4774.591416,4803.53773485024,13.37516114976097,1.0004704050591884,26.700326892595946
weld,4827.51384,4786.832184,4815.784260969434,11.729579030565219,1.0004704050591884,26.700326892595946
weld,4839.696696,4799.051616000001,4828.009441052069,11.687254947931251,1.0004704050591884,26.700326892595946
weld,4851.8917440000005,4811.246664,4840.210225664345,11.68151833565571,1.0004704050591884,26.700326892595946
weld,4864.108128000001,4823.44476,4852.414059710415,11.69406828958563,1.0004704050591884,26.700326892595946
weld,4876.309272,4834.070088,4863.0443859184625,13.264886081537952,1.0004704050591884,26.700326892595946
weld,4888.464696,4846.237704,4875.217725626587,13.246970373413205,1.0004704050591884,26.700326892595946
weld,4900.351896,4858.454088,4887.439856275426,12.912039724574242,1.0004704050591884,26.700326892595946
weld,4912.5378,4870.676568,4899.668085791853,12.869714208147343,1.0004704050591884,26.700326892595946
weld,4924.711512000001,4882.905144,4911.90241417587,12.809097824130731,1.0004704050591884,26.700326892595946
weld,4936.897416000001,4895.088000000001,4924.091001052969,12.806414947031953,1.0004704050591884,26.700326892595946
weld,4949.074176,4906.996536000001,4936.00513888855,13.069037111449688,1.0004704050591884,26.700326892595946
weld,4961.266176,4919.209872,4948.224220103594,13.041955896405852,1.0004704050591884,26.700326892595946
weld,4973.4551280000005,4931.420160000001,4960.440251884844,13.014876115156767,1.0004704050591884,26.700326892595946
weld,4985.622744,4943.6274,4972.653234232298,12.96950976770222,1.0004704050591884,26.700326892595946
weld,4997.817792000001,4955.828544000001,4984.8601177121645,12.957674287836198,1.0004704050591884,26.700326892595946
weld,5009.9793119999995,4968.044928,4997.082248361002,12.897063638997679,1.0004704050591884,26.700326892595946
weld,5022.125592,4980.2552160000005,5009.298280142251,12.82731185774901,1.0004704050591884,26.700326892595946
weld,5034.302352000001,4992.419784000001,5021.468570416582,12.833781583418386,1.0004704050591884,26.700326892595946
weld,5046.4974,5004.642264,5033.696799933009,12.800600066991137,1.0004704050591884,26.700326892595946
weld,5058.686352000001,5016.84036,5045.90063397908,12.785718020920285,1.0004704050591884,26.700326892595946
weld,5070.8814,5029.029312,5058.095319723767,12.786080276233406,1.0004704050591884,26.700326892595946
weld,5083.052064,5041.251792000001,5070.3235492401955,12.728514759804966,1.0004704050591884,26.700326892595946
weld,5095.241016,5053.477320000001,5082.554828190418,12.686187809581497,1.0004704050591884,26.700326892595946
weld,5107.429968,5065.693704,5094.776958839256,12.65300916074466,1.0004704050591884,26.700326892595946
weld,5119.618920000001,5077.92228,5107.011287223273,12.607632776727769,1.0004704050591884,26.700326892595946
weld,5131.79568,5090.147808,5119.242566173495,12.553113826505069,1.0004704050591884,26.700326892595946
weld,5143.98768,5102.376384000001,5131.476894557513,12.51078544248685,1.0004704050591884,26.700326892595946
weld,5156.161392000001,5114.601912,5143.708173507735,12.453218492265478,1.0004704050591884,26.700326892595946
weld,5168.3412,5126.824392,5155.936403024163,12.404796975836689,1.0004704050591884,26.700326892595946
weld,5180.511864,5139.031632,5168.149385371617,12.362478628382632,1.0004704050591884,26.700326892595946
weld,5192.676432,5151.248016,5180.371516020456,12.304915979544603,1.0004704050591884,26.700326892595946
weld,5204.865384000001,5163.430872,5192.560102897553,12.305281102447225,1.0004704050591884,26.700326892595946
weld,5217.112247999999,5175.6564,5204.791381847776,12.320866152223061,1.0004704050591884,26.700326892595946
weld,5229.371304,5187.884976,5217.025710231794,12.345593768206527,1.0004704050591884,26.700326892595946
