pair,dst_id,confidence,score,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned
2022_to_2015,422,0.39729520496790793,0.39729520496790793,,330.0,,236.22,,4281.662074137035
2022_to_2015,625,0.39725068552426457,0.39725068552426457,cisl,0.0,28.0,5.08,27.94,2570.449272928401
2022_to_2015,4308,0.3972445559515363,0.3972445559515363,gene,330.0,36.0,33.019999999999996,43.18,2758.211380481826
2022_to_2015,4872,0.3972300976211677,0.3972300976211677,gene,300.0,10.0,170.18,48.26,105.53460660793786
2022_to_2015,3055,0.39720699692674866,0.39720699692674866,gene,120.0,14.0,45.72,30.479999999999997,1935.014791847531
2022_to_2015,1062,0.3971560683173533,0.3971560683173533,,300.0,,193.04,,1225.2841336190074
2022_to_2015,3004,0.39712461112378694,0.39712461112378694,gene,30.0,19.0,91.44,45.72,1536.11507882858
2022_to_2015,639,0.39712415197031564,0.39712415197031564,,0.0,,127.0,,3356.4977729888687
2022_to_2015,1122,0.39710180973203024,0.39710180973203024,gene,300.0,11.0,553.72,88.89999999999999,1080.6087546495114
2022_to_2015,4521,0.39707800732881926,0.39707800732881926,gene,120.0,13.0,86.36,55.88,413.20670074830724
2022_to_2015,964,0.3970562991941709,0.3970562991941709,,270.0,,157.48,,1640.6098721978142
2022_to_2015,4551,0.3970509493223908,0.3970509493223908,,120.0,,288.79799999999994,141.986,2697.6877939958968
2022_to_2015,2986,0.3970216090816163,0.3970216090816163,gene,270.0,11.0,167.64,81.28,2274.022688594394
2022_to_2015,4093,0.3970137137948126,0.3970137137948126,gene,150.0,21.0,193.04,101.6,3505.216481326945
2022_to_2015,1774,0.3969715575035941,0.3969715575035941,gene,0.0,46.0,754.38,327.65999999999997,3087.869078063848
2022_to_2015,1274,0.3969623013401449,0.3969623013401449,gene,240.0,13.0,91.44,45.72,437.59303100255437
2022_to_2015,318,0.39694199072257047,0.39694199072257047,axgr,180.0,11.0,73.66,22.86,592.6294414790361
2022_to_2015,637,0.3969153672777872,0.3969153672777872,,0.0,,147.32,,1070.62678527083
2022_to_2015,3558,0.3969126068013757,0.3969126068013757,gene,120.0,35.0,55.88,50.8,1910.502107550516
2022_to_2015,486,0.39690460439175057,0.39690460439175057,gene,150.0,16.0,172.72,88.89999999999999,568.6221733530936
2022_to_2015,4452,0.3968974156736986,0.3968974156736986,gene,60.0,13.0,279.4,55.88,2115.3220108776372
2022_to_2015,4620,0.39689362069246337,0.39689362069246337,gene,210.0,19.0,185.42,73.66,1215.3021642403262
2022_to_2015,4349,0.39687904703493465,0.39687904703493465,gene,30.0,19.0,71.11999999999999,45.72,873.7671866381006
2022_to_2015,4957,0.39686227384494366,0.39686227384494366,,240.0,,223.52,,3331.985088691854
2022_to_2015,3847,0.3968345842635172,0.3968345842635172,corrosion,240.0,48.0,27.94,50.8,2470.5032250988193
2022_to_2015,4899,0.39683245397294503,0.39683245397294503,,300.0,,292.09999999999997,,2809.2584137601457
2022_to_2015,4147,0.39678285718569417,0.39678285718569417,gene,120.0,23.0,304.79999999999995,60.959999999999994,2648.788779444635
2022_to_2015,1196,0.3967211505670906,0.3967211505670906,gene,240.0,13.0,111.76,66.03999999999999,1239.814848537341
2022_to_2015,4573,0.39669007701480535,0.39669007701480535,,300.0,,203.2,,231.130525119448
2022_to_2015,4067,0.39668696765480493,0.39668696765480493,gene,150.0,30.0,228.6,109.21999999999998,2186.206628870552
2022_to_2015,3484,0.39667392798897916,0.39667392798897916,corrosion,210.0,16.0,27.94,35.559999999999995,183.4950509958672
2022_to_2015,2123,0.3966588566760032,0.3966588566760032,gene,210.0,22.0,55.88,81.28,1885.9894232535012
2022_to_2015,5188,0.39663610598084414,0.39663610598084414,gene,120.0,19.0,99.05999999999999,137.16,3624.6210517428167
2022_to_2015,2185,0.3966279412155794,0.3966279412155794,,240.0,,154.93999999999997,,3926.859922044158
2022_to_2015,3650,0.39660762856662046,0.39660762856662046,gene,60.0,23.0,30.479999999999997,30.479999999999997,1092.6123887124827
2022_to_2015,5105,0.39657058863942457,0.39657058863942457,,240.0,32.0,43.18,,213.8200212602158
2022_to_2015,2116,0.39655739772440457,0.39655739772440457,gene,180.0,24.0,218.43999999999997,119.38,1510.4652081466518
