year,idx,anchor_type,event_raw,distance_m_std,clock_deg_std
2015,440,weld,girthweld,3925.5954,
2015,441,weld,girthweld,3937.7934960000002,
2015,442,weld,girthweld,3950.0159760000006,
2015,443,weld,girthweld,3962.1835920000003,
2015,444,weld,girthweld,3973.0801920000004,
2015,445,weld,girthweld,3985.2660960000003,
2015,446,weld,girthweld,3997.46724,
2015,447,weld,girthweld,4009.67448,
2015,451,weld,girthweld,4021.8847680000003,
2015,452,weld,girthweld,4034.0798160000004,
2015,453,weld,girthweld,4046.287056,
2015,454,weld,girthweld,4058.4699120000005,
2015,455,weld,girthweld,4070.677152,
2015,458,weld,girthweld,4082.9179200000003,
2015,460,weld,girthweld,4087.279608,
2015,461,weld,girthweld,4099.587432,
2015,462,weld,girthweld,4111.803816000001,
2015,463,weld,girthweld,4124.017152,
2015,464,weld,girthweld,4136.218296,
2015,465,weld,girthweld,4148.462112,
2015,469,weld,girthweld,4159.882968,
2015,470,weld,girthweld,4171.764072,
2015,471,weld,girthweld,4183.971312000001,
2015,472,weld,girthweld,4191.374904,
2015,473,weld,girthweld,4203.5455680000005,
2015,474,weld,girthweld,4215.783288,
2015,478,weld,girthweld,4228.011864,
2015,479,weld,girthweld,4240.249584,
2015,480,weld,girthweld,4252.469016,
2015,481,weld,girthweld,4255.907160000001,
2015,483,weld,girthweld,4268.123544,
2015,484,weld,girthweld,4276.414104,
2015,486,weld,girthweld,4280.647776000001,
2015,487,weld,girthweld,4284.689424,
2015,488,weld,girthweld,4296.921048,
2015,489,weld,girthweld,4309.128288,
2015,490,weld,girthweld,4321.3751520000005,
2015,492,weld,girthweld,4325.91972,
2015,493,weld,girthweld,4332.896592,
2015,494,weld,girthweld,4345.112976,
2015,495,weld,girthweld,4357.338504,
2015,496,weld,girthweld,4369.542696,
2015,497,weld,girthweld,4381.7407920000005,
2015,498,weld,girthweld,4393.963272,
2015,499,weld,girthweld,4406.161368,
2015,500,weld,girthweld,4418.377752,
2015,501,weld,girthweld,4430.591088,
2015,502,weld,girthweld,4442.819664000001,
2015,503,weld,girthweld,4455.029952,
